"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"beta2[1,6]",1.12636160315024,0.000293206638466078,1.12578524090004,1.12616407864739,1.12636201907362,1.12655904332456,1.12693561298439,1.00114174367594,12000
"beta2[2,6]",0.456928749947919,0.000184723238903662,0.456566028368211,0.45680436944946,0.456928812124473,0.457052971694514,0.457291936590727,1.00102604803735,40000
"beta2[1,7]",1.26187239755629,0.00127059047902239,1.25939712707566,1.26101587478352,1.2618704522641,1.26273171757189,1.26438244015635,1.00098906043767,68000
"beta2[2,7]",0.236051814618265,0.000839684910311818,0.234408411941591,0.235486135467034,0.236053075335053,0.236617530205904,0.237702258510877,1.00098070389104,68000
"deviance",13722124.3204788,11.0393129130075,13722104.5681326,13722116.5777728,13722123.6418495,13722131.3349907,13722147.8054019,1,1
"p[1,1]",0.330209553499696,4.58502167966353e-05,0.330119657387364,0.330178513874766,0.330209422806827,0.330240436194492,0.330299940457561,1.00102082976775,45000
"p[2,1]",0.39745322260597,3.78683659033831e-05,0.397379019321835,0.397427597878836,0.397453102773737,0.397478775955976,0.397527675614872,1,1
"p[3,1]",0.459307600375605,3.21266407745423e-05,0.459244849025799,0.459285803821284,0.45930767466773,0.459329507287787,0.459370503494918,1,1
"p[4,1]",0.515408734403733,3.16280509307922e-05,0.515347004065028,0.515387325294238,0.515408728372866,0.515430131851432,0.515471066632161,1,1
"p[5,1]",0.566305169586879,3.74284075117686e-05,0.56623176505073,0.566279890821746,0.566305140135048,0.566330303593037,0.566378991977269,1,1
"p[6,1]",0.612718457124337,4.67890301128232e-05,0.612626748617625,0.612686842431977,0.612718541116905,0.612749907221938,0.61280985798547,1,1
"p[7,1]",0.655228791441969,5.68340792561513e-05,0.655116673641541,0.655190486724977,0.655228752520875,0.655266881803426,0.65533976944878,1,1
"p[8,1]",0.34913749035661,4.37928356763534e-05,0.349051428852282,0.34910794221475,0.3491375082112,0.349167128209224,0.349223208805011,1.00098500795593,68000
"p[9,1]",0.409657306263036,2.91446863431524e-05,0.409600118765098,0.409637627513062,0.409657318664962,0.409677057172262,0.409714494741875,1,1
"p[10,1]",0.433834324632695,2.49514763352704e-05,0.43378572573289,0.433817482455172,0.433834262006752,0.433851316714336,0.433883140554927,1,1
"p[11,1]",0.457894852633058,2.33193430789923e-05,0.45784945371022,0.457879078040898,0.457894805456899,0.457910672804244,0.457940742069398,1,1
"p[12,1]",0.481775351690602,2.50304889899244e-05,0.481726784800886,0.48175838436256,0.481775272410804,0.48179229243887,0.481824419821555,1,1
"p[13,1]",0.505413457119743,2.95965448837963e-05,0.505356000311069,0.505393364126557,0.505413421241074,0.505433324649087,0.505471679293493,1,1
"p[14,1]",0.528748011447827,3.58957414102226e-05,0.528678205697117,0.528723651499748,0.528747905711324,0.528772208622634,0.528818629425406,1,1
"p[15,1]",0.551719372574844,4.30362476759669e-05,0.551635698218716,0.5516902127048,0.551719223579241,0.551748525043724,0.551804211114597,1,1
"p[1,2]",0.254957883360846,4.36582870257088e-05,0.254872389893787,0.254928397950381,0.254958069881203,0.25498729804891,0.255043283691125,1.00102412340406,42000
"p[2,2]",0.25878087972942,3.37499610816964e-05,0.258714407524418,0.258758161593521,0.258780943747134,0.258803609717538,0.258847024424068,1.00102198756683,44000
"p[3,2]",0.252183777436565,2.75004492997011e-05,0.252129751059139,0.252165252970893,0.252183717658043,0.252202391892488,0.25223781281657,1.00102102286944,45000
"p[4,2]",0.238634175250765,2.69211996974565e-05,0.238581240314155,0.238616082915834,0.238634198281881,0.238652405354487,0.238686978987424,1.0010103716661,59000
"p[5,2]",0.221105092407957,3.15175385339611e-05,0.22104292157725,0.221083843262384,0.221105204795487,0.221126226272779,0.221166797733359,1.00099550330957,68000
"p[6,2]",0.201732809412956,3.82540880149313e-05,0.201657387308713,0.201707153230674,0.201733005680349,0.201758381047213,0.201807800585234,1.00098588096467,68000
"p[7,2]",0.18191809647726,4.49282404706085e-05,0.181829740124802,0.181887706417161,0.181918327361091,0.181948129967563,0.182006454986121,1.00098077616608,68000
"p[8,2]",0.24365030858916,4.04732580979927e-05,0.243570848481634,0.243622907548629,0.243650397030645,0.243677482207619,0.24372938863743,1.00111524907201,14000
"p[9,2]",0.227101874968704,2.41560187504517e-05,0.227054425377091,0.227085505501224,0.22710198380924,0.227118140870137,0.227149388697019,1.00107337865484,21000
"p[10,2]",0.219349040594742,2.03449863573534e-05,0.219309061980503,0.219335228152161,0.219349090938727,0.21936277057112,0.219388932613589,1,1
"p[11,2]",0.2111491828946,1.91064765468421e-05,0.211111819374018,0.211136232095756,0.211149151562709,0.211162106306121,0.211186547453531,1,1
"p[12,2]",0.202618938420603,2.04880946042673e-05,0.202578977972383,0.202605067276442,0.202618903162896,0.202632705894174,0.202659361240933,1.00100050788865,68000
"p[13,2]",0.193862618781764,2.36625582634949e-05,0.193816523771596,0.193846629748625,0.193862531561919,0.193878520707047,0.193909213449819,1.00100935452946,60000
"p[14,2]",0.18497278554051,2.76942819798831e-05,0.184918669113915,0.184954152257285,0.184972714126804,0.184991462347935,0.18502740422976,1.00102064157084,45000
"p[15,2]",0.17603099336406,3.19774146028015e-05,0.175968662811191,0.176009399230551,0.17603088714506,0.176052569931528,0.176094022817656,1.00102936872859,38000
"p[1,3]",0.130640417783394,3.3580061273361e-05,0.13057458889299,0.130617813696291,0.130640413137731,0.130663144569873,0.130706146010891,1.0010696695247,21000
"p[2,3]",0.131997087723968,2.59368248407645e-05,0.131945973883737,0.131979689309594,0.131997173947815,0.132014454282789,0.132047919529977,1.00103531360219,34000
"p[3,3]",0.128047870650944,2.08883360431779e-05,0.128006784047432,0.128033994122705,0.12804794396784,0.128061952855655,0.128088562167764,1.00100932618714,61000
"p[4,3]",0.120617662418831,2.04893648036042e-05,0.120577274914379,0.120603881992448,0.120617615070742,0.120631448450605,0.120657708918281,1.00101308009923,54000
"p[5,3]",0.111250012158212,2.39085388321631e-05,0.111203440487485,0.111233893726109,0.111249913932149,0.111266255565675,0.111296859529632,1.00103548089507,34000
"p[6,3]",0.101041762874937,2.8563921588795e-05,0.100986322004472,0.101022367113507,0.101041741314854,0.101061189356827,0.101097565304246,1.00105279644181,26000
"p[7,3]",0.0907033524230593,3.28799640009265e-05,0.0906395081634543,0.0906809981649428,0.0907032961807719,0.0907257373468518,0.0907677391115229,1.00106384445404,23000
"p[8,3]",0.228910836778982,3.95227468019649e-05,0.228833950568445,0.228884116208977,0.228910738294228,0.228937521166631,0.228988304612365,1.0010904002958,18000
